group,id,company,title,location,date_posted,discovered_at,source,status,fit_score,base_variant,flags,jd_quality,url,fit_rationale
A,3271,Peraton,Associate Software Engineer - Cyber,"Annapolis Junction, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred""]",ats,https://careers-peraton.icims.com/jobs/170237/job?mobile=true&needsRedirect=false,
A,3255,AIG,Data Scientist Analyst - Generative AI - Data Science,"Atlanta, GA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred""]",ats,https://aig.wd1.myworkdayjobs.com/aig/job/GA-Atlanta/XMLNAME-2027-Early-Careers--Analyst--Gen-AI---Data-Science---United-States--Atlanta--GA_JR2603656-1,
A,3253,Johns Hopkins Applied Physics Laboratory,Systems Engineer/Analyst,"Laurel, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://careers.jhuapl.edu/jobs/59373?icims=1,
A,3252,Johns Hopkins Applied Physics Laboratory,Software Developer 2027 Graduate - Tactical System Prototyping and Deployment,"Laurel, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://careers.jhuapl.edu/jobs/59558?icims=1,
A,3251,Johns Hopkins Applied Physics Laboratory,Software Developer New Grad - Engagement Optimization,"Laurel, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://careers.jhuapl.edu/jobs/59510?icims=1,
A,3249,Johns Hopkins Applied Physics Laboratory,Data Analyst New Grad - Engagement Optimization,"Laurel, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://careers.jhuapl.edu/jobs/59507?icims=1,
A,3246,Wintermute,Graduate Algorithmic Trader,NYC,2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""start_date_unknown""]",ats,https://jobs.lever.co/wintermute-trading/d962dc39-8839-4e13-a37a-baba49e52b44/apply,
A,3242,Hunter Douglas,Product Specialist,"Broomfield, CO",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://boards.greenhouse.io/hunterdouglas/jobs/7983491003,
A,3241,Johns Hopkins Applied Physics Laboratory,Postdoctoral Researcher in Artificial Intelligence,"Laurel, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://careers.jhuapl.edu/jobs/59905?icims=1,
A,3240,Ciena,Software Developer New Grad,"Atlanta, GA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://ciena.wd5.myworkdayjobs.com/Careers/job/Atlanta/WaveLogic-Software-Developer---New-Grad_R031608,
A,3239,Johns Hopkins Applied Physics Laboratory,PhD Graduate - Statistics and Data Science,"Laurel, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://careers.jhuapl.edu/jobs/59889?icims=1,
A,3238,Johns Hopkins Applied Physics Laboratory,Machine Learning PhD New Grad - Machine Learning and Artificial Intelligence,"Laurel, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,,ats,https://careers.jhuapl.edu/jobs/59888?icims=1,
A,3235,Barclays,Electronic Trading Associate Graduate Program,NYC,2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""start_date_unknown""]",ats,https://barclays.wd3.myworkdayjobs.com/External_Career_Site_Barclays/job/New-York-745-7th-Avenue/Electronic-Trading-Associate-Graduate-Program-2027-New-York_JR-0000122953-1,
A,3233,Textron,Software Engineer - Sea Systems,"Hunt Valley, Cockeysville, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://textron.taleo.net/careersection/textron/jobdetail.ftl?job=342905,
A,3231,Textron,Software Engineer 1 - Electronic Systems,"Hunt Valley, Cockeysville, MD",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://textron.taleo.net/careersection/textron/jobdetail.ftl?job=342666,
A,3225,Stripe,Software Engineer New Grad,"Seattle, WA; SF; NYC",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""start_date_unknown""]",ats,https://boards.greenhouse.io/stripe/jobs/8128744,
A,3224,Katalyst Space Technologies,Software Engineer New Grad - Software Engineer 1,"Broomfield, CO",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://job-boards.greenhouse.io/katalyst/jobs/6176710004,
A,3222,IXL Learning,Software Engineer New Grad,"Raleigh, NC",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""start_date_unknown""]",ats,https://www.ixl.com/company/jobs?gh_jid=8765745002,
A,3216,Sierra,Software Engineer New Grad - Agent,SF; NYC,2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""country_unknown"", ""start_date_unknown""]",ats,https://jobs.ashbyhq.com/Sierra/149f368c-52d5-408f-ba26-ad888f318a00/application?embed=true,
A,3212,Prelim,Software Engineer - Product,NYC,2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""authorization_ambiguous"", ""country_unknown"", ""start_date_unknown""]",ats,https://jobs.ashbyhq.com/prelim/bf4c1a5d-32d5-4f3b-b1d2-42a3e1fd7409/application?embed=true,
A,3211,Avalore,Support Systems Developer/Engineer,"Arlington County, Arlington, VA",2026-09-01,2026-09-08,tracker_simplify,RESOLVED,,,"[""opportunity_type_inferred"", ""start_date_unknown""]",ats,https://apply.workable.com/avalore/j/60903E3667/apply,
B,4255,Yext,Software Engineer,"New York, NY, United States",,2026-09-08,tracker_jobright,RESOLVED,,,"[""opportunity_type_inferred"", ""sponsor_likely"", ""start_date_unknown""]",aggregator,https://jobright.ai/jobs/info/6a9b12be2cdc5958f53eabbd?utm_campaign=Software%20Engineering&utm_source=1103,
B,4251,Tata Elxsi,Motion Planning Engineer,"California, United States",,2026-09-08,tracker_jobright,RESOLVED,,,"[""opportunity_type_inferred"", ""sponsor_likely"", ""start_date_unknown""]",aggregator,https://jobright.ai/jobs/info/6a9b26f2fe45b8490f607094?utm_campaign=Software%20Engineering&utm_source=1103,
